x,alpha,rho,p,sd11,sd12,sd13,sd21,sd22,sd23,sd31,sd32,sd33,rho_mix,p_mix,te_mix,s11,s12,vx,vy,v_mix,amr,xi
0.1015,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1025,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1035,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1045,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1055,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1065,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1075,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1085,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1095,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1105,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1115,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1125,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1135,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1145,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1155,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1165,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1175,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1185,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1195,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1205,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1215,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1225,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1235,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1245,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1255,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1265,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1275,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1285,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1295,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1305,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1315,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1325,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
