  x  rho  u  p 
  6.950000000000001E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  7.050000000000001E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  7.150000000000001E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  7.250000000000001E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  7.350000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  7.450000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  7.550000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  7.650000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  7.750000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  7.850000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
